10.538,10.347,19.352,1.904,0.032166
9.3887,10.081,16.405,-0.49931,0.076892
10.415,11.068,19.273,-0.84851,0.25648
9.4365,9.6754,18.776,0.56239,0.40717
10.254,9.911,19.595,-0.5268,0.95796
8.8384,9.4937,16.487,1.0805,0.053626
8.1114,10.759,17.224,0.23826,0.15174
10.021,9.2282,15.88,0.64457,0.018058
9.7938,9.9236,18.415,-0.79416,0.6015
11.333,10.607,19.143,-0.97801,0.16222
7.5712,10.868,16.65,-0.016873,0.16994
7.9575,11.199,17.658,1.6469,0.043046
10.34,11.254,16.114,0.18664,0.0034605
11.364,10.621,20.101,0.44477,0.097386
11.244,9.8975,19.394,-0.44933,0.27295
9.1518,10.563,16.993,-1.4697,0.28613
11.13,9.4801,20.766,0.79231,0.52942
11.444,11.76,20.511,-0.3774,0.098677
10.032,10.63,20.619,0.9146,0.38385
7.3264,10.027,14.153,-1.1894,0.13386
10.128,7.086,15.603,-0.78964,0.4401
9.1152,9.435,17.61,0.49978,0.23694
10.408,10.862,19.588,0.53757,0.10872
11.607,10.667,20.459,-0.20469,0.19977
9.4571,9.9223,13.363,0.4502,0.0015544
9.0098,9.4542,17.833,0.29722,0.39531
11.395,9.7118,20.6,0.02241,0.58954
9.7672,11.563,20.48,-0.43107,0.65701
9.9282,11.869,20.152,1.2154,0.057257
10.47,9.9873,20.153,0.62272,0.39558
